route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000031,OCESN12261F2567970:2023-10-09T00:43:50Z,12261,,40,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000032,OCESN12261F2567971:2023-09-04T00:36:08Z,12261,,41,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000001,OCESN12261F2567972:2023-10-09T00:43:50Z,12261,,42,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12261F2693946:2023-10-12T00:48:35Z,12261,,43,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000019,OCESN12263F2320412:2023-10-09T00:43:50Z,12263,,44,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000033,OCESN12263F2349677:2023-10-13T00:46:55Z,12263,,45,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12263F2410939:2023-09-04T00:36:08Z,12263,,46,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12264F1912400:2023-09-04T00:36:08Z,12264,,47,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000034,OCESN12264F2168198:2023-10-09T00:43:50Z,12264,,48,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000019,OCESN12265F2313056:2023-09-04T00:36:08Z,12265,,49,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000035,OCESN12265F2547304:2023-10-13T00:46:55Z,12265,,50,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000036,OCESN12265F2547305:2023-09-04T00:36:08Z,12265,,51,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12265F2567536:2023-09-04T00:36:08Z,12265,,52,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12266F2227708:2023-09-04T00:36:08Z,12266,,53,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000037,OCESN12266F2567967:2023-10-09T00:43:50Z,12266,,54,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000018,OCESN12266F2567968:2023-10-10T00:42:10Z,12266,,55,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000030,OCESN12267F1658385:2023-10-12T00:48:35Z,12267,,56,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000038,OCESN12267F1965092:2023-10-09T00:43:50Z,12267,,57,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000039,OCESN12267F2179144:2023-10-13T00:46:55Z,12267,,58,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000009,OCESN12267F2695389:2023-10-12T00:48:35Z,12267,,59,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000040,OCESN12268F2411089:2023-10-10T00:42:10Z,12268,,60,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000018,OCESN12268F2567786:2023-10-09T00:43:50Z,12268,,61,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000041,OCESN12268F2607514:2023-10-12T00:48:35Z,12268,,62,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12268F2694070:2023-10-12T00:48:35Z,12268,,63,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000042,OCESN12270F1799671:2023-10-13T00:46:55Z,12270,,64,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12270F2694081:2023-10-12T00:48:35Z,12270,,65,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12271F2322869:2023-10-12T00:48:35Z,12271,,66,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12271F2402823:2023-10-12T00:48:35Z,12271,,67,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000044,OCESN12271F2402928:2023-10-13T00:46:55Z,12271,,68,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000029,OCESN12271F2548050:2023-09-04T00:36:08Z,12271,,69,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000045,OCESN12271F2548051:2023-09-04T00:36:08Z,12271,,70,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000046,OCESN12273F2239703:2023-10-12T00:48:35Z,12273,,71,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000020,OCESN12273F2245645:2023-10-13T00:46:55Z,12273,,72,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12273F2605322:2023-10-12T00:48:35Z,12273,,73,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000047,OCESN12274F1375767:2023-10-09T00:43:50Z,12274,,74,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000048,OCESN12274F1986324:2023-10-09T00:43:50Z,12274,,75,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12274F2411014:2023-10-09T00:43:50Z,12274,,76,
